item_id,transaction_id,product_id,quantity,unit_price_at_sale,discount_applied
I0000092,T000015,P040,1,41.99,0.0
I0000093,T000015,P015,3,19.99,0.0
I0000094,T000015,P011,1,109.99,0.0
I0000095,T000015,P023,1,22.99,0.0
I0000096,T000015,P016,1,32.99,0.0
I0000097,T000015,P044,1,39.99,0.0
I0000098,T000015,P001,2,39.99,0.0
I0000099,T000015,P002,1,37.99,0.0
I0000100,T000015,P031,1,41.99,0.0
I0000101,T000015,P014,1,41.99,0.0
I0000102,T000016,P030,1,139.99,0.0
I0000103,T000016,P016,1,32.99,0.0
I0000104,T000016,P027,1,99.99,0.0
I0000105,T000016,P008,1,17.99,0.0
I0000106,T000016,P014,1,41.99,0.0
I0000107,T000016,P004,1,54.99,0.0
I0000108,T000016,P032,2,32.99,0.0
I0000109,T000016,P010,2,16.99,0.0
I0000110,T000016,P022,1,18.99,0.0
I0000111,T000016,P029,1,79.99,0.0
I0000112,T000016,P031,1,41.99,0.0
I0000113,T000016,P021,1,47.99,0.0
I0000114,T000017,P030,2,139.99,0.0
I0000115,T000017,P013,2,79.99,0.0
I0000116,T000017,P015,1,19.99,0.0
I0000117,T000017,P022,1,18.99,0.0
I0000118,T000017,P037,1,62.99,0.0
I0000119,T000017,P020,1,26.99,0.0
I0000120,T000017,P027,1,99.99,0.0
I0000121,T000017,P012,1,54.99,0.0
I0000122,T000017,P026,1,94.99,0.0
I0000123,T000017,P002,1,37.99,0.0
I0000124,T000018,P009,1,32.99,0.0
I0000125,T000018,P034,1,21.99,0.0
I0000126,T000018,P007,1,18.99,0.0
I0000127,T000019,P037,1,62.99,0.0
I0000128,T000019,P032,1,32.99,0.0
I0000129,T000020,P030,1,139.99,0.0
I0000130,T000021,P031,1,41.99,0.0
I0000131,T000021,P005,1,52.99,0.0
I0000132,T000021,P019,1,94.99,0.0
I0000133,T000021,P025,2,41.99,0.0
I0000134,T000021,P008,1,17.99,0.0
I0000135,T000021,P011,1,109.99,0.0
I0000136,T000021,P003,1,74.99,0.0
I0000137,T000021,P043,1,59.99,0.0
I0000138,T000021,P004,1,54.99,0.0
I0000139,T000022,P032,1,32.99,0.0
I0000140,T000022,P031,1,41.99,0.0
I0000141,T000022,P048,2,39.99,0.0
I0000142,T000022,P005,1,52.99,0.0
I0000143,T000022,P010,1,16.99,0.0
I0000144,T000023,P013,1,79.99,0.0
I0000145,T000023,P039,1,209.99,0.0
I0000146,T000023,P021,1,47.99,0.0
I0000147,T000023,P031,1,41.99,0.0
I0000148,T000023,P024,1,32.99,0.0
I0000149,T000023,P016,1,32.99,0.0
I0000150,T000023,P008,1,17.99,0.0
I0000151,T000024,P002,1,37.99,0.0
I0000152,T000024,P006,1,21.99,0.0
I0000153,T000024,P013,1,79.99,0.0
I0000154,T000024,P030,1,139.99,0.0
I0000155,T000024,P046,1,64.99,0.0
I0000156,T000024,P017,1,42.99,0.0
I0000157,T000025,P018,1,56.99,0.0
I0000158,T000025,P046,1,64.99,0.0
I0000159,T000026,P028,1,56.99,0.0
I0000160,T000027,P020,1,26.99,0.0
I0000161,T000027,P031,1,41.99,0.0
I0000162,T000027,P014,1,41.99,0.0
I0000163,T000027,P029,1,79.99,0.0
I0000164,T000027,P015,1,19.99,0.0
I0000165,T000028,P002,1,37.99,0.0
I0000166,T000028,P031,1,41.99,0.0
I0000167,T000028,P011,1,109.99,0.0
I0000168,T000028,P006,1,21.99,0.0
I0000169,T000028,P003,1,74.99,0.0
I0000170,T000029,P007,1,18.99,0.0
I0000171,T000029,P023,1,22.99,0.0
I0000172,T000029,P021,1,47.99,0.0
I0000173,T000029,P004,1,54.99,0.0
I0000174,T000030,P006,1,21.99,0.0
I0000175,T000030,P010,2,16.99,0.0
I0000176,T000030,P018,1,56.99,0.0
I0000177,T000031,P006,2,21.99,0.0
I0000178,T000031,P024,1,32.99,0.0
I0000179,T000031,P009,1,32.99,0.0
I0000180,T000031,P013,1,79.99,0.0
I0000181,T000031,P003,2,74.99,0.0
I0000182,T000031,P018,1,56.99,0.0
I0000183,T000031,P001,1,39.99,0.0
I0000184,T000032,P007,1,18.99,0.0
I0000185,T000032,P014,1,41.99,0.0
I0000186,T000032,P034,1,21.99,0.0
I0000187,T000032,P009,2,32.99,0.0
I0000188,T000032,P008,1,17.99,0.0
I0000189,T000032,P039,1,209.99,0.0
I0000190,T000032,P030,1,139.99,0.0
I0000191,T000033,P018,1,56.99,0.0
I0000192,T000033,P023,1,22.99,0.0
I0000193,T000033,P048,1,39.99,0.0
I0000194,T000033,P005,1,52.99,0.0
I0000195,T000033,P006,1,21.99,0.0
I0000196,T000033,P046,1,64.99,0.0
I0000197,T000033,P003,1,74.99,0.0
I0000198,T000033,P019,2,94.99,0.0
I0000199,T000033,P013,1,79.99,0.0
I0000200,T000033,P021,1,47.99,0.0
I0000201,T000034,P010,1,16.99,0.0
I0000202,T000034,P007,1,18.99,0.0
I0000203,T000035,P032,1,32.99,0.0
I0000204,T000035,P018,1,56.99,0.0
I0000205,T000035,P023,1,22.99,0.0
I0000206,T000035,P044,1,39.99,0.0
I0000207,T000035,P045,1,119.99,0.0
I0000208,T000036,P009,1,32.99,0.0
I0000209,T000036,P002,1,37.99,0.0
I0000210,T000036,P006,1,21.99,0.0
I0000211,T000036,P037,1,62.99,0.0
I0000212,T000037,P032,1,32.99,0.0
I0000213,T000037,P048,1,39.99,0.0
I0000214,T000037,P011,1,109.99,0.0
I0000215,T000037,P023,1,22.99,0.0
I0000216,T000038,P008,2,17.99,0.0
I0000217,T000038,P006,1,21.99,0.0
I0000218,T000039,P005,1,52.99,0.0
I0000219,T000039,P036,1,56.99,0.0
I0000220,T000040,P020,1,26.99,0.0
I0000221,T000041,P006,1,21.99,0.0
I0000222,T000041,P001,1,39.99,0.0
I0000223,T000042,P045,1,119.99,0.0
I0000224,T000042,P006,1,21.99,0.0
I0000225,T000042,P003,1,74.99,0.0
I0000226,T000042,P025,1,41.99,0.0
I0000227,T000042,P008,1,17.99,0.0
I0000228,T000042,P026,1,94.99,0.0
I0000229,T000042,P046,1,64.99,0.0
I0000230,T000042,P005,1,52.99,0.0
I0000231,T000042,P030,1,139.99,0.0
I0000232,T000042,P004,1,54.99,0.0
I0000233,T000042,P034,1,21.99,0.0
I0000234,T000043,P006,1,21.99,0.0
I0000235,T000043,P025,1,41.99,0.0
I0000236,T000044,P019,2,94.99,0.0
I0000237,T000044,P010,1,16.99,0.0
I0000238,T000044,P002,1,37.99,0.0
I0000239,T000044,P015,1,19.99,0.0
I0000240,T000044,P005,1,52.99,0.0
I0000241,T000045,P023,1,22.99,0.0
I0000242,T000045,P037,1,62.99,0.0
I0000243,T000045,P025,1,41.99,0.0
I0000244,T000045,P048,1,39.99,0.0
I0000245,T000045,P040,1,41.99,0.0
I0000246,T000046,P004,1,54.99,0.0
I0000247,T000046,P020,1,26.99,0.0
I0000248,T000046,P045,1,119.99,0.0
I0000249,T000046,P023,1,22.99,0.0
I0000250,T000046,P010,1,16.99,0.0
I0000251,T000046,P046,1,64.99,0.0
I0000252,T000046,P017,2,42.99,0.0
I0000253,T000046,P029,1,79.99,0.0
I0000254,T000046,P027,1,99.99,0.0
I0000255,T000047,P028,1,56.99,0.0
I0000256,T000047,P005,1,52.99,0.0
I0000257,T000047,P026,1,94.99,0.0
I0000258,T000047,P007,1,18.99,0.0
I0000259,T000047,P037,1,62.99,0.0
I0000260,T000047,P025,1,41.99,0.0
I0000261,T000047,P030,1,139.99,0.0
I0000262,T000048,P048,1,39.99,0.0
I0000263,T000048,P030,1,139.99,0.0
I0000264,T000048,P010,1,16.99,0.0
I0000265,T000048,P018,1,56.99,0.0
I0000266,T000048,P019,1,94.99,0.0
I0000267,T000048,P026,1,94.99,0.0
I0000268,T000048,P003,1,74.99,0.0
I0000269,T000048,P034,1,21.99,0.0
I0000270,T000048,P027,1,99.99,0.0
I0000271,T000048,P040,1,41.99,0.0
I0000272,T000049,P013,1,79.99,0.0
I0000273,T000049,P011,1,109.99,0.0
I0000274,T000049,P032,1,32.99,0.0
I0000275,T000049,P046,1,64.99,0.0
I0000276,T000049,P006,2,21.99,0.0
I0000277,T000049,P010,2,16.99,0.0
I0000278,T000049,P001,2,39.99,0.0
I0000279,T000049,P025,1,41.99,0.0
I0000280,T000049,P003,1,74.99,0.0
I0000281,T000049,P008,1,17.99,0.0
I0000282,T000049,P007,1,18.99,0.0
I0000283,T000049,P033,1,64.99,0.0
I0000284,T000049,P019,1,94.99,0.0
I0000285,T000049,P030,1,139.99,0.0
I0000286,T000050,P030,1,139.99,0.0
I0000287,T000050,P032,1,32.99,0.0
I0000288,T000051,P015,1,19.99,0.0
I0000289,T000051,P034,1,21.99,0.0
I0000290,T000051,P033,1,64.99,0.0
I0000291,T000052,P028,1,56.99,0.0
I0000292,T000052,P003,1,74.99,0.0
I0000293,T000052,P046,1,64.99,0.0
I0000294,T000053,P015,1,19.99,0.0
I0000295,T000053,P013,1,79.99,0.0
I0000296,T000053,P016,1,32.99,0.0
I0000297,T000053,P045,1,119.99,0.0
I0000298,T000054,P018,1,56.99,0.0
I0000299,T000054,P003,1,74.99,0.0
I0000300,T000054,P039,1,209.99,0.0
I0000301,T000054,P019,1,94.99,0.0
I0000302,T000054,P010,1,16.99,0.0
I0000303,T000054,P024,1,32.99,0.0
I0000304,T000055,P011,1,109.99,0.0
I0000305,T000055,P030,1,139.99,0.0
I0000306,T000055,P015,1,19.99,0.0
I0000307,T000055,P001,1,39.99,0.0
I0000308,T000055,P010,1,16.99,0.0
I0000309,T000055,P029,1,79.99,0.0
I0000310,T000056,P024,1,32.99,0.0
I0000311,T000056,P008,1,17.99,0.0
I0000312,T000056,P011,2,109.99,0.0
I0000313,T000056,P009,1,32.99,0.0
I0000314,T000056,P013,1,79.99,0.0
I0000315,T000057,P015,1,19.99,0.0
I0000316,T000058,P036,1,56.99,0.0
I0000317,T000058,P039,1,209.99,0.0
I0000318,T000058,P013,1,79.99,0.0
I0000319,T000059,P025,1,41.99,0.0
I0000320,T000059,P017,1,42.99,0.0
I0000321,T000059,P002,2,37.99,0.0
I0000322,T000059,P030,1,139.99,0.0
I0000323,T000059,P008,3,17.99,0.0
I0000324,T000059,P014,2,41.99,0.0
I0000325,T000060,P033,1,64.99,0.0
I0000326,T000060,P005,1,52.99,0.0
I0000327,T000060,P006,1,21.99,0.0
I0000328,T000060,P016,1,32.99,0.0
I0000329,T000061,P007,1,18.99,0.0
I0000330,T000061,P006,1,21.99,0.0
I0000331,T000061,P031,1,41.99,0.0
I0000332,T000061,P045,1,119.99,0.0
I0000333,T000061,P029,1,79.99,0.0
I0000334,T000062,P039,1,209.99,0.0
I0000335,T000062,P013,1,79.99,0.0
I0000336,T000062,P002,1,37.99,0.0
I0000337,T000062,P030,1,139.99,0.0
I0000338,T000063,P018,1,56.99,0.0
I0000339,T000063,P023,1,22.99,0.0
I0000340,T000063,P007,1,18.99,0.0
I0000341,T000063,P027,1,99.99,0.0
I0000342,T000064,P013,1,79.99,0.0
I0000343,T000064,P006,1,21.99,0.0
I0000344,T000065,P024,1,32.99,0.0
I0000345,T000065,P012,1,54.99,0.0
I0000346,T000065,P030,1,139.99,0.0
I0000347,T000065,P013,1,79.99,0.0
I0000348,T000065,P003,1,74.99,0.0
I0000349,T000065,P018,1,56.99,0.0
I0000350,T000066,P027,1,99.99,0.0
I0000351,T000066,P034,1,21.99,0.0
I0000352,T000066,P025,1,41.99,0.0
I0000353,T000067,P013,1,79.99,0.0
I0000354,T000067,P028,1,56.99,0.0
I0000355,T000067,P034,1,21.99,0.0
I0000356,T000067,P044,1,39.99,0.0
I0000357,T000067,P001,1,39.99,0.0
I0000358,T000067,P015,1,19.99,0.0
I0000359,T000067,P025,1,41.99,0.0
I0000360,T000067,P020,1,26.99,0.0
I0000361,T000067,P046,1,64.99,0.0
I0000362,T000067,P002,2,37.99,0.0
I0000363,T000068,P014,1,41.99,0.0
I0000364,T000069,P021,1,47.99,0.0
I0000365,T000069,P003,1,74.99,0.0
I0000366,T000069,P001,1,39.99,0.0
I0000367,T000069,P019,1,94.99,0.0
I0000368,T000069,P030,1,139.99,0.0
I0000369,T000069,P034,1,21.99,0.0
I0000370,T000070,P026,1,94.99,0.0
I0000371,T000070,P046,1,64.99,0.0
I0000372,T000070,P009,2,32.99,0.0
I0000373,T000070,P007,1,18.99,0.0
I0000374,T000070,P020,1,26.99,0.0
I0000375,T000070,P021,1,47.99,0.0
I0000376,T000070,P017,1,42.99,0.0
I0000377,T000071,P029,1,79.99,0.0
I0000378,T000071,P020,1,26.99,0.0
I0000379,T000071,P003,1,74.99,0.0
I0000380,T000071,P041,1,51.99,0.0
I0000381,T000072,P032,1,32.99,0.0
I0000382,T000072,P013,1,79.99,0.0
I0000383,T000072,P015,1,19.99,0.0
I0000384,T000072,P010,1,16.99,0.0
I0000385,T000073,P031,1,41.99,0.0
I0000386,T000073,P028,1,56.99,0.0
I0000387,T000073,P027,1,99.99,0.0
I0000388,T000073,P036,1,56.99,0.0
I0000389,T000073,P034,1,21.99,0.0
I0000390,T000073,P023,2,22.99,0.0
I0000391,T000073,P016,1,32.99,0.0
I0000392,T000073,P012,1,54.99,0.0
I0000393,T000073,P005,1,52.99,0.0
I0000394,T000073,P045,1,119.99,0.0
I0000395,T000073,P002,1,37.99,0.0
I0000396,T000073,P015,1,19.99,0.0
I0000397,T000073,P020,1,26.99,0.0
I0000398,T000074,P047,2,149.99,0.0
I0000399,T000074,P041,1,51.99,0.0
I0000400,T000074,P028,1,56.99,0.0
I0000401,T000074,P017,1,42.99,0.0
I0000402,T000074,P006,1,21.99,0.0
I0000403,T000075,P007,2,18.99,0.0
I0000404,T000075,P038,1,51.99,0.0
I0000405,T000075,P019,1,94.99,0.0
I0000406,T000075,P044,1,39.99,0.0
I0000407,T000075,P026,1,94.99,0.0
I0000408,T000075,P048,2,39.99,0.0
I0000409,T000075,P018,1,56.99,0.0
I0000410,T000075,P030,1,139.99,0.0
I0000411,T000075,P015,1,19.99,0.0
I0000412,T000075,P031,1,41.99,0.0
I0000413,T000076,P009,1,32.99,0.0
I0000414,T000076,P035,1,14.99,0.0
I0000415,T000076,P007,1,18.99,0.0
I0000416,T000076,P048,1,39.99,0.0
I0000417,T000076,P020,1,26.99,0.0
I0000418,T000076,P005,1,52.99,0.0
I0000419,T000076,P001,1,39.99,0.0
I0000420,T000077,P048,1,39.99,0.0
I0000421,T000077,P046,1,64.99,0.0
I0000422,T000077,P027,1,99.99,0.0
I0000423,T000077,P036,1,56.99,0.0
I0000424,T000077,P025,1,41.99,0.0
I0000425,T000077,P004,1,54.99,0.0
I0000426,T000078,P011,1,109.99,0.0
I0000427,T000078,P038,1,51.99,0.0
I0000428,T000078,P048,1,39.99,0.0
I0000429,T000078,P026,1,94.99,0.0
I0000430,T000078,P001,1,39.99,0.0
I0000431,T000079,P045,1,119.99,0.0
I0000432,T000079,P009,1,32.99,0.0
I0000433,T000079,P020,1,26.99,0.0
I0000434,T000079,P019,1,94.99,0.0
I0000435,T000080,P043,1,59.99,0.0
I0000436,T000080,P014,1,41.99,0.0
I0000437,T000080,P017,1,42.99,0.0
I0000438,T000080,P011,1,109.99,0.0
I0000439,T000080,P045,1,119.99,0.0
I0000440,T000080,P028,1,56.99,0.0
I0000441,T000080,P032,1,32.99,0.0
I0000442,T000080,P010,1,16.99,0.0
I0000443,T000081,P033,1,64.99,0.0
I0000444,T000081,P016,1,32.99,0.0
I0000445,T000082,P026,1,94.99,0.0
I0000446,T000082,P045,1,119.99,0.0
I0000447,T000082,P025,1,41.99,0.0
I0000448,T000082,P017,1,42.99,0.0
I0000449,T000082,P007,1,18.99,0.0
I0000450,T000083,P031,2,41.99,0.0
I0000451,T000083,P015,1,19.99,0.0
I0000452,T000083,P030,1,139.99,0.0
I0000453,T000083,P035,1,14.99,0.0
I0000454,T000083,P003,1,74.99,0.0
I0000455,T000083,P040,1,41.99,0.0
I0000456,T000084,P029,1,79.99,0.0
I0000457,T000084,P023,1,22.99,0.0
I0000458,T000084,P022,1,18.99,0.0
I0000459,T000084,P018,1,56.99,0.0
I0000460,T000085,P012,1,54.99,0.0
I0000461,T000085,P003,1,74.99,0.0
I0000462,T000085,P025,1,41.99,0.0
I0000463,T000086,P021,1,47.99,0.0
I0000464,T000086,P016,1,32.99,0.0
I0000465,T000086,P010,1,16.99,0.0
I0000466,T000086,P008,1,17.99,0.0
I0000467,T000086,P032,1,32.99,0.0
I0000468,T000086,P029,1,79.99,0.0
I0000469,T000086,P033,1,64.99,0.0
I0000470,T000086,P001,1,39.99,0.0
I0000471,T000086,P045,1,119.99,0.0
I0000472,T000087,P027,1,99.99,0.0
I0000473,T000087,P018,1,56.99,0.0
I0000474,T000087,P022,1,18.99,0.0
I0000475,T000087,P047,1,149.99,0.0
I0000476,T000088,P023,1,22.99,0.0
I0000477,T000088,P020,1,26.99,0.0
I0000478,T000088,P007,2,18.99,0.0
I0000479,T000088,P029,1,79.99,0.0
I0000480,T000088,P026,1,94.99,0.0
I0000481,T000088,P015,1,19.99,0.0
I0000482,T000088,P001,1,39.99,0.0
I0000483,T000088,P017,1,42.99,0.0
I0000484,T000089,P036,1,56.99,0.0
I0000485,T000089,P033,1,64.99,0.0
I0000486,T000089,P022,1,18.99,0.0
I0000487,T000089,P034,1,21.99,0.0
I0000488,T000090,P006,1,21.99,0.0
I0000489,T000090,P035,1,14.99,0.0
I0000490,T000090,P004,1,54.99,0.0
I0000491,T000090,P021,1,47.99,0.0
I0000492,T000091,P009,3,32.99,0.0
I0000493,T000091,P048,3,39.99,0.0
I0000494,T000091,P024,1,32.99,0.0
I0000495,T000091,P034,1,21.99,0.0
I0000496,T000091,P041,1,51.99,0.0
I0000497,T000091,P003,1,74.99,0.0
I0000498,T000091,P020,1,26.99,0.0
I0000499,T000091,P016,1,32.99,0.0
I0000500,T000091,P038,1,51.99,0.0
I0000501,T000091,P014,1,41.99,0.0
I0000502,T000091,P011,1,109.99,0.0
I0000503,T000092,P001,1,39.99,0.0
I0000504,T000092,P016,1,32.99,0.0
I0000505,T000092,P039,1,209.99,0.0
I0000506,T000092,P013,1,79.99,0.0
I0000507,T000092,P002,2,37.99,0.0
I0000508,T000093,P021,1,47.99,0.0
I0000509,T000093,P009,1,32.99,0.0
I0000510,T000093,P033,1,64.99,0.0
I0000511,T000093,P007,1,18.99,0.0
I0000512,T000093,P019,1,94.99,0.0
I0000513,T000093,P006,1,21.99,0.0
I0000514,T000093,P048,1,39.99,0.0
I0000515,T000094,P023,1,22.99,0.0
I0000516,T000094,P015,1,19.99,0.0
I0000517,T000094,P031,1,41.99,0.0
I0000518,T000094,P029,1,79.99,0.0
I0000519,T000094,P004,1,54.99,0.0
I0000520,T000094,P006,1,21.99,0.0
I0000521,T000094,P045,1,119.99,0.0
I0000522,T000095,P009,1,32.99,0.0
I0000523,T000095,P047,1,149.99,0.0
I0000524,T000095,P045,1,119.99,0.0
I0000525,T000095,P048,1,39.99,0.0
I0000526,T000096,P017,1,42.99,0.0
I0000527,T000096,P010,1,16.99,0.0
I0000528,T000097,P034,1,21.99,0.0
I0000529,T000097,P014,2,41.99,0.0
I0000530,T000097,P001,1,39.99,0.0
I0000531,T000097,P021,1,47.99,0.0
I0000532,T000097,P043,1,59.99,0.0
I0000533,T000097,P007,1,18.99,0.0
I0000534,T000097,P003,2,74.99,0.0
I0000535,T000097,P012,2,54.99,0.0
I0000536,T000097,P047,1,149.99,0.0
I0000537,T000097,P015,1,19.99,0.0
I0000538,T000097,P048,1,39.99,0.0
I0000539,T000098,P005,1,52.99,0.0
I0000540,T000098,P010,2,16.99,0.0
I0000541,T000098,P008,1,17.99,0.0
I0000542,T000098,P009,1,32.99,0.0
I0000543,T000099,P046,1,64.99,0.0
I0000544,T000099,P011,1,109.99,0.0
I0000545,T000099,P025,1,41.99,0.0
I0000546,T000100,P011,1,109.99,0.0
I0000547,T000100,P031,1,41.99,0.0
I0000548,T000100,P022,1,18.99,0.0
I0000549,T000100,P013,1,79.99,0.0
I0000550,T000100,P001,1,39.99,0.0
I0000551,T000101,P001,1,39.99,0.0
I0000552,T000101,P033,1,64.99,0.0
I0000553,T000101,P006,1,21.99,0.0
I0000554,T000101,P012,1,54.99,0.0
I0000555,T000101,P008,1,17.99,0.0
I0000556,T000101,P005,1,52.99,0.0
I0000557,T000101,P031,1,41.99,0.0
I0000558,T000101,P022,1,18.99,0.0
I0000559,T000102,P006,1,21.99,0.0
I0000560,T000102,P039,1,209.99,0.0
I0000561,T000102,P019,1,94.99,0.0
I0000562,T000103,P006,1,21.99,0.0
I0000563,T000103,P004,1,54.99,0.0
I0000564,T000103,P001,1,39.99,0.0
I0000565,T000104,P010,1,16.99,0.0
I0000566,T000104,P003,1,74.99,0.0
I0000567,T000105,P032,1,32.99,0.0
I0000568,T000105,P043,1,59.99,0.0
I0000569,T000105,P019,1,94.99,0.0
I0000570,T000105,P025,1,41.99,0.0
I0000571,T000105,P008,1,17.99,0.0
I0000572,T000106,P005,1,52.99,0.0
I0000573,T000106,P014,1,41.99,0.0
I0000574,T000106,P047,1,149.99,0.0
I0000575,T000106,P026,1,94.99,0.0
I0000576,T000106,P015,1,19.99,0.0
I0000577,T000106,P007,1,18.99,0.0
I0000578,T000106,P043,1,59.99,0.0
I0000579,T000107,P020,1,26.99,0.0
I0000580,T000107,P010,2,16.99,0.0
I0000581,T000107,P002,2,37.99,0.0
I0000582,T000107,P023,1,22.99,0.0
I0000583,T000107,P016,1,32.99,0.0
I0000584,T000108,P019,1,94.99,0.0
I0000585,T000108,P043,1,59.99,0.0
I0000586,T000108,P032,1,32.99,0.0
I0000587,T000108,P035,1,14.99,0.0
I0000588,T000108,P027,1,99.99,0.0
I0000589,T000108,P037,1,62.99,0.0
I0000590,T000108,P013,1,79.99,0.0
I0000591,T000109,P019,1,94.99,0.0
I0000592,T000109,P028,1,56.99,0.0
I0000593,T000109,P033,1,64.99,0.0
I0000594,T000109,P023,1,22.99,0.0
I0000595,T000110,P026,1,94.99,0.0
I0000596,T000110,P038,1,51.99,0.0
I0000597,T000110,P005,1,52.99,0.0
I0000598,T000110,P008,1,17.99,0.0
I0000599,T000111,P018,1,56.99,0.0
I0000600,T000111,P041,1,51.99,0.0
I0000601,T000111,P001,1,39.99,0.0
I0000602,T000111,P026,1,94.99,0.0
I0000603,T000111,P030,1,139.99,0.0
I0000604,T000112,P034,1,21.99,0.0
I0000605,T000112,P023,1,22.99,0.0
I0000606,T000112,P017,1,42.99,0.0
I0000607,T000113,P028,1,56.99,0.0
I0000608,T000113,P017,1,42.99,0.0
I0000609,T000114,P019,1,94.99,0.0
I0000610,T000114,P009,1,32.99,0.0
I0000611,T000114,P022,2,18.99,0.0
I0000612,T000114,P014,1,41.99,0.0
I0000613,T000114,P028,1,56.99,0.0
I0000614,T000114,P013,1,79.99,0.0
I0000615,T000114,P001,1,39.99,0.0
I0000616,T000115,P004,1,54.99,0.0
I0000617,T000115,P012,1,54.99,0.0
I0000618,T000115,P043,1,59.99,0.0
I0000619,T000116,P004,1,54.99,0.0
I0000620,T000116,P045,1,119.99,0.0
I0000621,T000116,P014,2,41.99,0.0
I0000622,T000116,P001,1,39.99,0.0
I0000623,T000116,P017,2,42.99,0.0
I0000624,T000116,P030,1,139.99,0.0
I0000625,T000116,P034,1,21.99,0.0
I0000626,T000116,P002,1,37.99,0.0
I0000627,T000117,P005,1,52.99,0.0
I0000628,T000117,P035,1,14.99,0.0
I0000629,T000117,P014,1,41.99,0.0
I0000630,T000117,P043,1,59.99,0.0
I0000631,T000117,P008,1,17.99,0.0
I0000632,T000118,P023,1,22.99,0.0
I0000633,T000118,P002,1,37.99,0.0
