transaction_id,store_id,customer_id,transaction_date,payment_method
T000130,S037,C02442,2024-01-09 18:12:00,Cash
T000131,S039,,2024-01-09 09:08:00,Cash
T000132,S042,,2024-01-09 12:04:00,Card
T000133,S003,C02285,2024-01-10 17:38:00,Cash
T000134,S004,C01740,2024-01-10 13:26:00,Card
T000135,S005,,2024-01-10 12:31:00,Card
T000136,S010,,2024-01-10 15:47:00,Card
T000137,S011,C01866,2024-01-10 14:13:00,Card
T000138,S012,,2024-01-10 11:10:00,Card
T000139,S020,C01399,2024-01-10 20:12:00,Cash
T000140,S023,C00467,2024-01-10 20:47:00,Card
T000141,S024,,2024-01-10 20:17:00,Cash
T000142,S025,C00056,2024-01-10 18:39:00,Card
T000143,S029,,2024-01-10 15:15:00,Card
T000144,S036,C01885,2024-01-10 11:51:00,Card
T000145,S038,,2024-01-10 14:15:00,Card
T000146,S042,,2024-01-10 14:33:00,Cash
T000147,S002,,2024-01-11 10:44:00,Card
T000148,S004,,2024-01-11 15:10:00,Card
T000149,S007,,2024-01-11 09:41:00,Card
T000150,S008,,2024-01-11 08:02:00,Cash
T000151,S009,C02752,2024-01-11 16:58:00,Cash
T000152,S010,,2024-01-11 09:42:00,Card
T000153,S011,,2024-01-11 12:38:00,Card
T000154,S012,C01740,2024-01-11 17:40:00,Card
T000155,S013,,2024-01-11 17:55:00,Card
T000156,S014,C02828,2024-01-11 14:20:00,Cash
T000157,S019,C01161,2024-01-11 15:19:00,Card
T000158,S025,C02753,2024-01-11 12:38:00,Cash
T000159,S032,C00719,2024-01-11 14:12:00,SnapScan
T000160,S035,C00646,2024-01-11 17:37:00,Card
T000161,S038,C01304,2024-01-11 12:07:00,Card
T000162,S039,,2024-01-11 20:13:00,Card
T000163,S002,,2024-01-12 15:02:00,Card
T000164,S006,C02432,2024-01-12 14:34:00,EFT
T000165,S009,,2024-01-12 10:03:00,Card
T000166,S010,C01791,2024-01-12 17:08:00,EFT
T000167,S011,C01540,2024-01-12 14:44:00,Card
T000168,S018,C01528,2024-01-12 08:40:00,EFT
T000169,S020,C01638,2024-01-12 20:38:00,Card
T000170,S024,C01346,2024-01-12 14:48:00,Card
T000171,S029,C01232,2024-01-12 12:50:00,EFT
T000172,S030,,2024-01-12 11:22:00,Card
T000173,S031,,2024-01-12 11:00:00,Card
T000174,S035,,2024-01-12 12:38:00,Cash
T000175,S037,,2024-01-12 19:23:00,Cash
T000176,S039,C01513,2024-01-12 10:41:00,Cash
T000177,S040,C00668,2024-01-12 12:22:00,Card
T000178,S042,C00424,2024-01-12 16:46:00,Card
T000179,S001,C00006,2024-01-13 15:27:00,Cash
T000180,S002,C02454,2024-01-13 12:48:00,Card
T000181,S004,C01277,2024-01-13 15:12:00,Cash
T000182,S008,C00913,2024-01-13 11:16:00,Card
T000183,S009,C02317,2024-01-13 13:21:00,Cash
T000184,S010,C01294,2024-01-13 13:34:00,Cash
T000185,S011,C01104,2024-01-13 15:57:00,Cash
T000186,S012,C01395,2024-01-13 12:39:00,Cash
T000187,S013,,2024-01-13 13:31:00,Cash
T000188,S014,C02546,2024-01-13 13:24:00,Cash
T000189,S019,C02003,2024-01-13 13:22:00,Cash
T000190,S022,C00737,2024-01-13 10:07:00,Card
T000191,S023,,2024-01-13 11:22:00,Cash
T000192,S025,C00873,2024-01-13 12:02:00,Cash
T000193,S026,C01159,2024-01-13 11:30:00,Cash
T000194,S029,,2024-01-13 18:56:00,Card
T000195,S035,,2024-01-13 15:26:00,Cash
T000196,S036,C00426,2024-01-13 09:26:00,Cash
T000197,S037,C02855,2024-01-13 16:44:00,EFT
T000198,S040,C02449,2024-01-13 08:04:00,Card
T000199,S042,,2024-01-13 15:13:00,SnapScan
T000200,S043,,2024-01-13 16:38:00,Card
T000201,S044,C00309,2024-01-13 12:16:00,Card
T000202,S002,,2024-01-14 13:57:00,Card
T000203,S003,C00128,2024-01-14 16:03:00,Card
T000204,S004,C01344,2024-01-14 12:19:00,Card
T000205,S005,,2024-01-14 17:42:00,EFT
T000206,S006,C01247,2024-01-14 15:30:00,Card
T000207,S007,,2024-01-14 12:15:00,Card
T000208,S008,C02487,2024-01-14 14:55:00,Card
T000209,S009,C02234,2024-01-14 15:41:00,Card
T000210,S011,,2024-01-14 17:35:00,Card
T000211,S013,,2024-01-14 11:18:00,EFT
T000212,S014,C01269,2024-01-14 16:37:00,EFT
T000213,S018,C01365,2024-01-14 17:01:00,Card
T000214,S021,C00726,2024-01-14 16:29:00,SnapScan
T000215,S023,,2024-01-14 09:25:00,Cash
T000216,S025,C02752,2024-01-14 14:35:00,Card
T000217,S026,,2024-01-14 13:25:00,Card
T000218,S029,C02898,2024-01-14 17:26:00,Cash
T000219,S031,,2024-01-14 16:09:00,EFT
T000220,S033,,2024-01-14 14:41:00,EFT
T000221,S037,C02480,2024-01-14 15:04:00,Cash
T000222,S039,,2024-01-14 18:38:00,Card
T000223,S040,,2024-01-14 14:15:00,Card
T000224,S042,C01775,2024-01-14 14:44:00,Card
T000225,S002,C02606,2024-01-15 13:08:00,Cash
T000226,S005,,2024-01-15 16:34:00,EFT
T000227,S008,,2024-01-15 16:29:00,Cash
T000228,S009,C01893,2024-01-15 14:52:00,Card
T000229,S010,C01159,2024-01-15 15:12:00,Card
T000230,S011,C02328,2024-01-15 14:03:00,Card
T000231,S013,,2024-01-15 15:09:00,Cash
T000232,S020,C01671,2024-01-15 16:20:00,SnapScan
T000233,S028,,2024-01-15 12:46:00,Card
T000234,S035,C02078,2024-01-15 14:10:00,Card
T000235,S037,C01003,2024-01-15 14:10:00,Card
T000236,S039,,2024-01-15 19:42:00,Cash
T000237,S041,C02063,2024-01-15 11:44:00,Card
T000238,S042,,2024-01-15 18:38:00,Card
T000239,S043,C00821,2024-01-15 13:01:00,Card
T000240,S044,C02543,2024-01-15 11:03:00,Cash
T000241,S005,,2024-01-16 10:53:00,Card
T000242,S007,C01495,2024-01-16 15:50:00,Card
T000243,S014,C00432,2024-01-16 19:13:00,EFT
T000244,S017,C02135,2024-01-16 16:35:00,Card
T000245,S021,,2024-01-16 15:47:00,Card
T000246,S033,,2024-01-16 15:43:00,Card
T000247,S034,C00895,2024-01-16 15:15:00,Card
T000248,S035,C00167,2024-01-16 15:43:00,Card
T000249,S038,,2024-01-16 09:41:00,Cash
T000250,S044,C01422,2024-01-16 16:28:00,Cash
T000251,S045,C00016,2024-01-16 15:35:00,Card
T000252,S007,C02072,2024-01-17 14:02:00,Card
T000253,S015,,2024-01-17 17:24:00,Cash
T000254,S016,C02122,2024-01-17 10:19:00,Card
T000255,S017,,2024-01-17 14:06:00,Cash
T000256,S022,,2024-01-17 12:20:00,Card
T000257,S025,C00175,2024-01-17 12:43:00,Card
T000258,S027,,2024-01-17 13:02:00,Cash
T000259,S028,C00901,2024-01-17 11:12:00,Card
T000260,S033,C02130,2024-01-17 10:10:00,Cash
T000261,S035,C01286,2024-01-17 12:51:00,Card
T000262,S036,C01220,2024-01-17 16:37:00,Card
T000263,S037,C00361,2024-01-17 16:00:00,Cash
T000264,S042,C00337,2024-01-17 16:38:00,Card
T000265,S043,C00885,2024-01-17 13:57:00,Card
T000266,S044,,2024-01-17 20:53:00,Cash
T000267,S045,,2024-01-17 12:49:00,Card
T000268,S009,,2024-01-18 15:08:00,Cash
T000269,S010,,2024-01-18 09:44:00,Card
T000270,S011,,2024-01-18 10:50:00,EFT
T000271,S012,C01656,2024-01-18 14:12:00,Card
T000272,S013,C02935,2024-01-18 19:11:00,Card
T000273,S015,C01000,2024-01-18 14:24:00,Card
T000274,S019,C02591,2024-01-18 12:43:00,Cash
T000275,S020,C00925,2024-01-18 12:51:00,Card
T000276,S025,C00779,2024-01-18 13:28:00,Cash
T000277,S029,C00235,2024-01-18 17:21:00,Cash
T000278,S034,C02524,2024-01-18 10:16:00,Cash
T000279,S035,C01898,2024-01-18 13:34:00,Card
T000280,S037,C00108,2024-01-18 17:26:00,Cash
T000281,S040,,2024-01-18 15:10:00,Cash
T000282,S044,C00322,2024-01-18 17:15:00,Cash
T000283,S045,,2024-01-18 10:49:00,Cash
T000284,S001,,2024-01-19 19:47:00,Card
T000285,S002,C02297,2024-01-19 10:04:00,Card
T000286,S005,,2024-01-19 14:34:00,Card
T000287,S007,,2024-01-19 17:23:00,Card
T000288,S015,,2024-01-19 14:29:00,SnapScan
T000289,S016,C01050,2024-01-19 15:50:00,Card
T000290,S025,C01286,2024-01-19 15:58:00,SnapScan
T000291,S026,C01513,2024-01-19 16:32:00,Cash
T000292,S031,,2024-01-19 15:11:00,Cash
T000293,S036,,2024-01-19 15:24:00,EFT
T000294,S037,,2024-01-19 19:47:00,Card
T000295,S042,C01172,2024-01-19 12:23:00,Card
T000296,S044,C01760,2024-01-19 16:04:00,Cash
T000297,S045,C01520,2024-01-19 19:05:00,Card
T000298,S002,C00983,2024-01-20 10:38:00,EFT
T000299,S003,C01454,2024-01-20 18:22:00,Card
T000300,S004,C02620,2024-01-20 10:45:00,Card
T000301,S007,C00425,2024-01-20 19:54:00,Card
T000302,S009,C02341,2024-01-20 17:53:00,Card
T000303,S010,C01989,2024-01-20 11:08:00,Card
T000304,S011,C01030,2024-01-20 15:59:00,Cash
T000305,S012,C01799,2024-01-20 14:44:00,Card
T000306,S016,C00751,2024-01-20 11:37:00,EFT
T000307,S017,C02603,2024-01-20 10:36:00,EFT
T000308,S027,C00290,2024-01-20 12:28:00,SnapScan
T000309,S029,,2024-01-20 16:08:00,Cash
T000310,S033,,2024-01-20 16:42:00,Cash
T000311,S035,,2024-01-20 14:32:00,Card
T000312,S036,C02727,2024-01-20 11:14:00,Card
T000313,S037,C00384,2024-01-20 13:33:00,Cash
T000314,S042,,2024-01-20 17:04:00,Card
T000315,S044,C00260,2024-01-20 13:30:00,Cash
T000316,S001,,2024-01-21 15:32:00,Card
T000317,S002,,2024-01-21 13:14:00,Cash
T000318,S004,,2024-01-21 15:27:00,Card
T000319,S006,,2024-01-21 16:52:00,Cash
T000320,S007,C00393,2024-01-21 14:26:00,EFT
T000321,S009,C01455,2024-01-21 13:49:00,Card
T000322,S010,C02237,2024-01-21 10:55:00,Cash
T000323,S011,,2024-01-21 17:42:00,Cash
T000324,S012,C01532,2024-01-21 18:34:00,Card
T000325,S014,,2024-01-21 16:50:00,Card
T000326,S018,C01230,2024-01-21 11:22:00,SnapScan
T000327,S020,,2024-01-21 12:52:00,Card
T000328,S021,C00546,2024-01-21 13:43:00,EFT
T000329,S022,C01209,2024-01-21 16:22:00,Card
T000330,S023,,2024-01-21 17:48:00,Cash
T000331,S024,C00983,2024-01-21 15:39:00,Card
T000332,S025,,2024-01-21 18:57:00,Cash
T000333,S030,,2024-01-21 17:04:00,Card
T000334,S035,,2024-01-21 13:48:00,Cash
T000335,S036,C02814,2024-01-21 18:46:00,Card
T000336,S038,,2024-01-21 20:57:00,Card
T000337,S039,,2024-01-21 17:58:00,Card
T000338,S042,C02173,2024-01-21 14:30:00,Card
T000339,S045,,2024-01-21 15:29:00,Card
T000340,S007,C02277,2024-01-22 14:03:00,SnapScan
T000341,S008,C02597,2024-01-22 16:39:00,Card
T000342,S009,C00162,2024-01-22 16:19:00,EFT
T000343,S017,C02707,2024-01-22 10:16:00,Cash
T000344,S018,C02721,2024-01-22 14:03:00,EFT
T000345,S026,C00182,2024-01-22 11:37:00,Card
T000346,S033,C02707,2024-01-22 17:45:00,EFT
T000347,S037,,2024-01-22 14:29:00,Cash
T000348,S043,C00550,2024-01-22 19:45:00,EFT
T000349,S001,C01204,2024-01-23 12:29:00,Card
T000350,S002,,2024-01-23 12:22:00,Card
T000351,S006,,2024-01-23 17:03:00,Cash
T000352,S007,C00004,2024-01-23 13:08:00,Card
T000353,S010,C00726,2024-01-23 19:40:00,Card
T000354,S011,,2024-01-23 18:05:00,Card
T000355,S022,,2024-01-23 17:36:00,Cash
T000356,S025,,2024-01-23 12:35:00,Card
T000357,S031,C02731,2024-01-23 16:49:00,Card
T000358,S036,C00625,2024-01-23 20:32:00,Card
T000359,S037,,2024-01-23 15:29:00,Cash
T000360,S039,,2024-01-23 18:53:00,Cash
T000361,S040,,2024-01-23 15:23:00,SnapScan
T000362,S001,,2024-01-24 15:29:00,Card
T000363,S002,C00421,2024-01-24 16:50:00,Card
T000364,S006,C00668,2024-01-24 18:41:00,EFT
T000365,S007,C00186,2024-01-24 08:04:00,Cash
T000366,S009,C01985,2024-01-24 19:43:00,SnapScan
T000367,S020,,2024-01-24 16:15:00,Card
T000368,S025,C01001,2024-01-24 19:45:00,Card
T000369,S026,C01135,2024-01-24 17:32:00,Card
T000370,S027,C02179,2024-01-24 17:10:00,Card
T000371,S028,,2024-01-24 09:45:00,Card
T000372,S029,C01988,2024-01-24 10:37:00,Card
T000373,S040,C02908,2024-01-24 18:25:00,EFT
T000374,S042,,2024-01-24 18:04:00,Card
T000375,S043,C02086,2024-01-24 14:28:00,Cash
T000376,S044,,2024-01-24 09:02:00,Cash
T000377,S003,C00677,2024-01-25 12:33:00,Card
T000378,S007,C00767,2024-01-25 11:02:00,Card
T000379,S010,C01159,2024-01-25 16:28:00,Card
T000380,S012,C02793,2024-01-25 08:02:00,EFT
T000381,S014,,2024-01-25 16:00:00,Card
T000382,S021,C01733,2024-01-25 14:29:00,Cash
T000383,S024,C00475,2024-01-25 13:39:00,Card
T000384,S025,C01532,2024-01-25 14:24:00,SnapScan
T000385,S026,C01032,2024-01-25 11:33:00,Card
T000386,S028,,2024-01-25 13:35:00,Card
T000387,S029,C00697,2024-01-25 15:25:00,Card
T000388,S035,C00512,2024-01-25 14:50:00,Card
T000389,S036,,2024-01-25 19:54:00,Card
T000390,S043,C00589,2024-01-25 17:29:00,Card
T000391,S044,C01826,2024-01-25 19:09:00,Card
T000392,S001,C01273,2024-01-26 15:58:00,Cash
T000393,S004,C00232,2024-01-26 14:14:00,Card
T000394,S005,,2024-01-26 13:33:00,Card
T000395,S007,C00793,2024-01-26 10:03:00,Card
T000396,S009,C00929,2024-01-26 20:30:00,Card
T000397,S011,,2024-01-26 14:53:00,Cash
T000398,S013,C00462,2024-01-26 16:24:00,EFT
T000399,S014,C00574,2024-01-26 16:24:00,Card
T000400,S015,C02118,2024-01-26 19:42:00,Card
T000401,S022,C00995,2024-01-26 09:03:00,Card
T000402,S023,,2024-01-26 15:12:00,Card
T000403,S025,,2024-01-26 18:00:00,EFT
T000404,S028,C01673,2024-01-26 18:01:00,Card
T000405,S030,,2024-01-26 12:07:00,Card
T000406,S032,C01423,2024-01-26 17:42:00,Card
T000407,S037,,2024-01-26 15:29:00,Card
T000408,S038,C01620,2024-01-26 12:58:00,Cash
T000409,S042,,2024-01-26 12:38:00,Card
T000410,S001,C00845,2024-01-27 15:44:00,EFT
T000411,S002,C01189,2024-01-27 12:12:00,Cash
T000412,S005,C00684,2024-01-27 14:43:00,Card
T000413,S006,,2024-01-27 14:27:00,SnapScan
T000414,S007,,2024-01-27 16:08:00,Card
T000415,S008,C01710,2024-01-27 14:53:00,Card
T000416,S009,,2024-01-27 15:46:00,Card
T000417,S010,,2024-01-27 12:03:00,EFT
T000418,S011,C00728,2024-01-27 18:27:00,Card
T000419,S012,,2024-01-27 13:01:00,Cash
T000420,S013,C02436,2024-01-27 13:10:00,Card
T000421,S014,C02121,2024-01-27 10:07:00,Card
T000422,S015,,2024-01-27 14:34:00,Card
T000423,S018,,2024-01-27 18:52:00,EFT
T000424,S021,,2024-01-27 13:26:00,Cash
T000425,S023,C02509,2024-01-27 09:19:00,Card
T000426,S024,C02721,2024-01-27 09:48:00,EFT
T000427,S025,,2024-01-27 12:45:00,Cash
T000428,S026,C01803,2024-01-27 12:43:00,Cash
T000429,S029,C02442,2024-01-27 18:09:00,Cash
T000430,S031,,2024-01-27 15:25:00,Card
T000431,S033,,2024-01-27 15:50:00,Cash
T000432,S034,,2024-01-27 13:28:00,Cash
T000433,S035,,2024-01-27 19:13:00,Cash
T000434,S036,C02576,2024-01-27 10:43:00,Cash
T000435,S038,,2024-01-27 11:12:00,Cash
T000436,S041,C01074,2024-01-27 17:08:00,Card
T000437,S042,,2024-01-27 16:51:00,Cash
T000438,S045,C02759,2024-01-27 09:26:00,SnapScan
T000439,S004,C00510,2024-01-28 18:34:00,EFT
T000440,S006,,2024-01-28 16:27:00,Card
T000441,S007,,2024-01-28 14:12:00,Card
T000442,S009,C01728,2024-01-28 19:11:00,Card
T000443,S010,C00772,2024-01-28 14:46:00,EFT
T000444,S011,,2024-01-28 15:28:00,Cash
T000445,S012,,2024-01-28 17:52:00,Cash
T000446,S014,C00894,2024-01-28 14:29:00,Card
T000447,S015,C00413,2024-01-28 20:57:00,Card
T000448,S016,C02314,2024-01-28 08:12:00,Card
T000449,S019,,2024-01-28 11:48:00,Card
T000450,S022,C01284,2024-01-28 15:00:00,Cash
T000451,S025,,2024-01-28 10:03:00,Card
T000452,S026,,2024-01-28 09:53:00,Card
T000453,S027,,2024-01-28 15:10:00,Cash
T000454,S028,,2024-01-28 14:57:00,EFT
T000455,S029,C01606,2024-01-28 18:27:00,Cash
T000456,S031,C01220,2024-01-28 09:50:00,Card
T000457,S035,C00679,2024-01-28 18:49:00,Cash
T000458,S036,,2024-01-28 12:09:00,Card
T000459,S038,,2024-01-28 10:34:00,Cash
T000460,S039,C01211,2024-01-28 16:46:00,Card
T000461,S042,C00614,2024-01-28 18:18:00,Card
T000462,S043,,2024-01-28 08:11:00,Card
T000463,S004,C02548,2024-01-29 12:51:00,Card
T000464,S006,,2024-01-29 19:08:00,EFT
T000465,S007,C01433,2024-01-29 12:46:00,Card
T000466,S009,C01447,2024-01-29 18:43:00,Card
T000467,S010,C00460,2024-01-29 16:31:00,Card
T000468,S011,,2024-01-29 10:59:00,Cash
T000469,S012,C00517,2024-01-29 18:44:00,Card
T000470,S016,C00554,2024-01-29 15:47:00,Card
T000471,S018,C01143,2024-01-29 14:05:00,Cash
T000472,S025,,2024-01-29 18:54:00,Cash
T000473,S027,C02828,2024-01-29 13:10:00,EFT
T000474,S035,C00314,2024-01-29 15:40:00,Card
T000475,S036,C00938,2024-01-29 15:22:00,Card
T000476,S039,,2024-01-29 18:43:00,Card
T000477,S041,,2024-01-29 11:45:00,Card
T000478,S042,,2024-01-29 09:57:00,Card
T000479,S045,C02166,2024-01-29 13:24:00,Card
T000480,S002,C01402,2024-01-30 14:36:00,Cash
T000481,S003,C02453,2024-01-30 20:10:00,Card
T000482,S004,C00788,2024-01-30 14:39:00,Card
T000483,S005,C00547,2024-01-30 16:18:00,Cash
T000484,S009,,2024-01-30 09:45:00,Cash
T000485,S010,,2024-01-30 15:38:00,Card
T000486,S011,,2024-01-30 15:38:00,Card
T000487,S012,C00321,2024-01-30 20:45:00,SnapScan
T000488,S013,C00894,2024-01-30 12:23:00,SnapScan
T000489,S015,C00732,2024-01-30 18:29:00,Card
T000490,S024,C01632,2024-01-30 15:53:00,Card
T000491,S026,,2024-01-30 16:20:00,Card
T000492,S033,C00962,2024-01-30 16:15:00,Cash
T000493,S035,,2024-01-30 11:36:00,Cash
T000494,S039,C00241,2024-01-30 10:21:00,Card
T000495,S041,,2024-01-30 11:49:00,Card
T000496,S042,,2024-01-30 14:24:00,Card
T000497,S043,C02317,2024-01-30 12:32:00,Card
T000498,S044,C01534,2024-01-30 13:36:00,Card
T000499,S001,,2024-01-31 15:26:00,Card
T000500,S002,C00429,2024-01-31 16:49:00,Cash
T000501,S005,,2024-01-31 16:36:00,Card
T000502,S006,C00930,2024-01-31 19:52:00,EFT
T000503,S007,,2024-01-31 10:47:00,Card
T000504,S009,,2024-01-31 11:26:00,Card
T000505,S010,C00313,2024-01-31 16:18:00,Card
T000506,S011,C02360,2024-01-31 15:35:00,Cash
T000507,S012,C00218,2024-01-31 18:29:00,Cash
T000508,S022,C01417,2024-01-31 18:46:00,Cash
T000509,S025,,2024-01-31 16:35:00,Cash
T000510,S026,C00645,2024-01-31 08:00:00,Cash
T000511,S035,C00780,2024-01-31 17:50:00,Card
T000512,S037,C01605,2024-01-31 15:10:00,Card
T000513,S038,,2024-01-31 12:11:00,Card
T000514,S039,C01087,2024-01-31 19:28:00,Card
T000515,S041,C01144,2024-01-31 13:35:00,Card
T000516,S042,,2024-01-31 11:34:00,SnapScan
T000517,S002,C01195,2024-02-01 18:13:00,Card
T000518,S003,C00045,2024-02-01 12:06:00,Card
T000519,S007,C02154,2024-02-01 13:19:00,Cash
T000520,S009,,2024-02-01 12:51:00,SnapScan
T000521,S012,,2024-02-01 15:48:00,Card
T000522,S013,,2024-02-01 18:47:00,Card
T000523,S020,,2024-02-01 18:00:00,Cash
T000524,S022,C01272,2024-02-01 19:18:00,Cash
T000525,S025,C00318,2024-02-01 18:01:00,Card
T000526,S027,,2024-02-01 12:13:00,Card
T000527,S032,,2024-02-01 14:46:00,Card
T000528,S035,C00150,2024-02-01 14:58:00,Cash
T000529,S006,C01487,2024-02-02 14:37:00,Cash
T000530,S007,C01239,2024-02-02 14:47:00,Card
T000531,S009,,2024-02-02 13:02:00,Card
